Company,Ticker,Sector,E,S,G,ESG,Status
Intel,INTC,Information Technology,4.36,5.94,6.96,17.26,Invest
Intercontinental Exchange,ICE,Financials,1.68,7.98,6.68,16.34,Invest
International Flavors & Fragrances,IFF,Materials,10.39,5.42,6.5,22.31,Invest
International Paper,IP,Materials,14.26,4.5,4.95,23.71,Invest
Interpublic Group of Companies (The),IPG,Communication Services,0.04,5.11,5.28,10.43,Invest
Intuit,INTU,Information Technology,0.97,10.52,4.7,16.2,Invest
Intuitive Surgical,ISRG,Health Care,4.37,9.78,9.6,23.74,Invest
Invesco,IVZ,Financials,0.7,9.87,9.76,20.33,Invest
IQVIA,IQV,Health Care,1.3,10.62,7.22,19.14,Invest
Iron Mountain,IRM,Real Estate,5,3.74,6,14.74,Invest
J.B. Hunt,JBHT,Industrials,3,6.01,4.86,13.86,Invest
Jack Henry & Associates,JKHY,Financials,0.78,9.45,5.22,15.45,Invest
Jacobs Solutions,J,Industrials,5.29,11.46,5.62,22.37,Invest
Johnson & Johnson,JNJ,Health Care,0.74,15.79,8.55,25.08,Invest
Johnson Controls,JCI,Industrials,4.89,4.55,5.25,14.7,Invest
JPMorgan Chase,JPM,Financials,1.11,16.18,11.73,29.02,Invest
Juniper Networks,JNPR,Information Technology,1.66,8.52,6.41,16.59,Invest
Kellogg's,K,Consumer Staples,7.4,14.87,4.58,26.84,Invest
KeyCorp,KEY,Financials,1.89,11.08,10.17,23.14,Invest
Keysight,KEYS,Information Technology,2.03,2.24,5.04,9.31,Invest
Kimberly-Clark,KMB,Consumer Staples,8.05,7.77,6.23,22.05,Invest
Kimco Realty,KIM,Real Estate,3.7,2.91,5.53,12.14,Invest
Kinder Morgan,KMI,Energy,7.75,7.32,3.48,18.55,Invest
KLA Corporation,KLAC,Information Technology,7.13,4.76,4.91,16.79,Invest
Kraft Heinz,KHC,Consumer Staples,14.38,14.29,6.63,35.3,Invest
Kroger,KR,Consumer Staples,6.51,9.43,5.46,21.39,Invest
LabCorp,LH,Health Care,0.13,11.55,7.13,18.81,Invest
Lam Research,LRCX,Information Technology,4.5,3.97,4.98,13.45,Invest
Las Vegas Sands,LVS,Consumer Discretionary,1.28,7.76,8.65,17.69,Invest
Leidos,LDOS,Industrials,1.29,4.99,5.39,11.67,Invest
Lennar,LEN,Consumer Discretionary,8.89,8.77,5.47,23.11,Invest
LKQ Corporation,LKQ,Consumer Discretionary,3.27,4,3.27,10.54,Invest
Lockheed Martin,LMT,Industrials,5.27,15.9,7.2,28.36,Invest
Loews Corporation,L,Financials,0.59,4.25,11.63,16.48,Invest
Lowe's,LOW,Consumer Discretionary,3.7,4.63,3.15,11.49,Invest
LyondellBasell,LYB,Materials,16.64,2.13,5.82,24.59,Invest
M&T Bank,MTB,Financials,2.2,12.77,11.19,26.16,Invest
Marathon Oil,MRO,Energy,23.91,10.14,7.96,42.01,Invest
Marathon Petroleum,MPC,Energy,15.91,7.01,5.79,28.7,Invest
Marriott International,MAR,Consumer Discretionary,8.75,9.05,4.09,21.89,Invest
Marsh McLennan,MMC,Financials,0.06,7.9,11.49,19.45,Invest
Martin Marietta Materials,MLM,Materials,18.55,4.53,8.74,31.82,Invest
Masco,MAS,Industrials,9.44,5.8,7.21,22.44,Invest
Mastercard,MA,Financials,0.32,8.1,8.57,16.98,Invest
McCormick & Company,MKC,Consumer Staples,10.07,11.3,5.21,26.58,Invest
McDonald's,MCD,Consumer Discretionary,4.18,14.3,6.32,24.79,Invest
McKesson,MCK,Health Care,2.29,7.37,5.52,15.17,Invest
Medtronic,MDT,Health Care,2.39,12.63,7.63,22.66,Invest
Merck & Co.,MRK,Health Care,0.79,11.47,9.57,21.84,Invest
Meta Platforms,META,Communication Services,1.02,21.01,10.51,32.54,Invest
MetLife,MET,Financials,0.73,4.82,9.41,14.95,Invest
Mettler Toledo,MTD,Health Care,1,7.41,4.91,13.32,Invest
MGM Resorts,MGM,Consumer Discretionary,2,12.97,10.53,25.49,Invest
Microchip Technology,MCHP,Information Technology,14.83,8.75,7.4,30.98,Invest
Micron Technology,MU,Information Technology,6.6,5.07,5.77,17.44,Invest
Microsoft,MSFT,Information Technology,1.53,8.39,5.33,15.24,Invest
Mid-America Apartment Communities,MAA,Real Estate,5.5,3.74,5.4,14.64,Invest
Mohawk Industries,MHK,Consumer Discretionary,5.61,4.19,4.36,14.17,Invest
Molson Coors Beverage Company,TAP,Consumer Staples,6.96,8.67,5.57,21.21,Invest
Mondelez International,MDLZ,Consumer Staples,9.46,9.08,5.18,23.78,Invest
Monster Beverage,MNST,Consumer Staples,12.43,10.58,5.03,28.03,Invest
Moody's Corporation,MCO,Financials,0.02,5.23,5.25,10.5,Invest
Morgan Stanley,MS,Financials,0.72,11.76,9.73,22.22,Invest
Mosaic Company (The),MOS,Materials,14.35,11.05,8.66,34.06,Invest
Motorola Solutions,MSI,Information Technology,2.21,6.7,5.39,14.31,Invest
MSCI,MSCI,Financials,1.65,6.77,7.59,16.01,Invest
"Nasdaq, Inc.",NDAQ,Financials,1.81,4.56,5.28,11.65,Invest
NetApp,NTAP,Information Technology,2.58,6.93,5.98,15.49,Invest
Netflix,NFLX,Communication Services,0.09,6.83,9.34,16.25,Invest
Newmont,NEM,Materials,6.92,8.24,5.16,20.33,Invest
News Corp (Class A),NWSA,Communication Services,0.02,4.58,7.02,11.61,Invest
NextEra Energy,NEE,Utilities,14.05,7.64,5.83,27.53,Invest
"Nike, Inc.",NKE,Consumer Discretionary,3.04,6.99,6.92,16.95,Invest
NiSource,NI,Utilities,14.08,10.25,5.18,29.51,Invest
Nordson Corporation,NDSN,Industrials,9.26,11.8,5.59,26.66,Invest
Norfolk Southern Railway,NSC,Industrials,8.05,11.36,3.32,22.73,Invest
Northern Trust,NTRS,Financials,1.87,11.83,10.17,23.86,Invest
Northrop Grumman,NOC,Industrials,7.47,14.87,5.05,27.4,Invest
Norwegian Cruise Line Holdings,NCLH,Consumer Discretionary,11.98,10.12,4.12,26.22,Invest
NRG Energy,NRG,Utilities,17.08,9.42,5.67,32.16,Invest
Nucor,NUE,Materials,9.66,13.33,8.95,31.94,Invest
Nvidia,NVDA,Information Technology,2.26,5.16,6.03,13.45,Invest
"NVR, Inc.",NVR,Consumer Discretionary,7.21,7.82,5.3,20.33,Invest
NXP Semiconductors,NXPI,Information Technology,8.67,7.39,5.55,21.6,Invest
O'Reilly Auto Parts,ORLY,Consumer Discretionary,0.16,8.89,3.98,13.03,Invest
Occidental Petroleum,OXY,Energy,24.61,12.04,6.59,43.23,Invest
Omnicom Group,OMC,Communication Services,0.09,9.33,6.88,16.3,Invest
ON Semiconductor,ON,Information Technology,14.8,6.36,5.42,26.59,Invest
ONEOK,OKE,Energy,11.78,11.01,3.31,26.1,Invest
Oracle Corporation,ORCL,Information Technology,0.52,7.71,5.69,13.92,Invest
Paccar,PCAR,Industrials,8.36,10.99,8.42,27.77,Invest
Packaging Corporation of America,PKG,Materials,11.65,1.35,3.76,16.75,Invest
Palo Alto Networks,PANW,Information Technology,0.7,7.62,5.6,13.92,Invest
Parker Hannifin,PH,Industrials,9.2,13.68,6.24,29.13,Invest
Paychex,PAYX,Industrials,1.17,9.81,6.51,17.48,Invest
PayPal,PYPL,Financials,0.71,9.92,5.36,15.99,Invest
Pentair,PNR,Industrials,6.66,10.01,6.07,22.74,Invest
PepsiCo,PEP,Consumer Staples,4.91,6.55,4.48,15.94,Invest
Pfizer,PFE,Health Care,2.83,12.85,9.66,25.34,Invest
PG&E Corporation,PCG,Utilities,8.41,20.65,6.2,35.26,Invest
Philip Morris International,PM,Consumer Staples,3.57,10.73,9.49,23.79,Invest
Phillips 66,PSX,Energy,16.39,7,5.96,29.35,Invest
Pinnacle West,PNW,Utilities,14.86,10.23,5.97,31.06,Invest
Pioneer Natural Resources,PXD,Energy,18.67,8.97,9.1,36.74,Invest
PNC Financial Services,PNC,Financials,1.73,11.75,8.86,22.34,Invest
PPG Industries,PPG,Materials,9.32,7.69,7.32,24.33,Invest
PPL Corporation,PPL,Utilities,19.71,8.31,5.81,33.84,Invest
Principal Financial Group,PFG,Financials,0.68,6.65,9.88,17.22,Invest
Procter & Gamble,PG,Consumer Staples,9.54,9.6,7.47,26.61,Invest
Progressive Corporation,PGR,Financials,1.67,8.36,10.85,20.87,Invest
Prologis,PLD,Real Estate,2.5,1.74,4.27,8.51,Invest
Prudential Financial,PRU,Financials,1.03,6.57,8.6,16.21,Invest
Public Service Enterprise Group,PEG,Utilities,11.56,9.28,5.46,26.31,Invest
PTC,PTC,Information Technology,4.92,8.61,5.4,18.93,Invest
Public Storage,PSA,Real Estate,4.51,2.55,5.24,12.3,Invest
PulteGroup,PHM,Consumer Discretionary,8.73,7.28,4.86,20.87,Invest
Qorvo,QRVO,Information Technology,13.12,8.5,7.46,29.08,Invest
Quanta Services,PWR,Industrials,12.4,15.73,9.05,37.18,Invest
Qualcomm,QCOM,Information Technology,4.83,4.05,7.71,16.59,Invest
Quest Diagnostics,DGX,Health Care,0.13,12.67,8.18,20.98,Invest
Ralph Lauren Corporation,RL,Consumer Discretionary,1.14,6.79,5.28,13.21,Invest
Raymond James,RJF,Financials,1.18,10.38,12.43,23.99,Invest
RTX Corporation,RTX,Industrials,7.99,13.09,8.1,29.17,Invest
Realty Income,O,Real Estate,4.41,5.32,5.74,15.47,Invest
Regency Centers,REG,Real Estate,3.56,2.86,4.45,10.88,Invest
Regeneron,REGN,Health Care,0.38,10.75,7.03,18.15,Invest
Regions Financial Corporation,RF,Financials,1.6,7.03,7.44,16.08,Invest
Republic Services,RSG,Industrials,11.3,6.02,3.66,20.98,Invest
ResMed,RMD,Health Care,3.36,12.41,10.63,26.41,Invest
Robert Half,RHI,Industrials,0.1,7.37,3.46,10.93,Invest
Rockwell Automation,ROK,Industrials,5.37,6.64,5.65,17.67,Invest
"Rollins, Inc.",ROL,Industrials,1.76,11.18,7.34,20.28,Invest
Roper Technologies,ROP,Information Technology,4.62,12.71,5.56,22.9,Invest
Ross Stores,ROST,Consumer Discretionary,1.8,8.45,5.68,15.93,Invest
Royal Caribbean Group,RCL,Consumer Discretionary,9.14,8.04,3.79,20.97,Invest
S&P Global,SPGI,Financials,0,6.16,8.15,14.31,Invest
Salesforce,CRM,Information Technology,2.34,6.39,4.46,13.18,Invest
SBA Communications,SBAC,Real Estate,3.11,3.23,5.23,11.58,Invest
Schlumberger,SLB,Energy,7.41,8.76,5.76,21.93,Invest
Seagate Technology,STX,Information Technology,1.59,3.8,5.26,10.66,Invest
Sealed Air,SEE,Materials,15.83,1.52,3.23,20.57,Invest
Sempra Energy,SRE,Utilities,12.09,7.14,5.5,24.72,Invest
ServiceNow,NOW,Information Technology,1.41,8.39,6.26,16.05,Invest
Sherwin-Williams,SHW,Materials,12.93,8.99,6.72,28.63,Invest
Simon Property Group,SPG,Real Estate,3.83,3.99,6.38,14.21,Invest
Skyworks Solutions,SWKS,Information Technology,11.63,8.93,7.21,27.76,Invest
J.M. Smucker Company (The),SJM,Consumer Staples,12.36,12.44,6.16,30.97,Invest
Snap-on,SNA,Industrials,9.33,13.91,7.59,30.83,Invest
Southern Company,SO,Utilities,14.79,11,7.3,33.09,Invest
Southwest Airlines,LUV,Industrials,11.29,14.89,6.21,32.39,Invest
Stanley Black & Decker,SWK,Industrials,5.83,12.51,7.59,25.93,Invest
Starbucks,SBUX,Consumer Discretionary,6.11,14.5,4.21,24.83,Invest
State Street Corporation,STT,Financials,1.96,11.2,9.11,22.27,Invest
Steel Dynamics,STLD,Materials,9.82,14.36,8.21,32.39,Invest
Stryker Corporation,SYK,Health Care,3.72,13.96,10.84,28.52,Invest
Synchrony Financial,SYF,Financials,0.13,9.89,7.19,17.22,Invest
Synopsys,SNPS,Information Technology,3.18,6.2,4.07,13.45,Invest
Sysco,SYY,Consumer Staples,2.79,4.7,4.57,12.06,Invest
T-Mobile US,TMUS,Communication Services,5.03,13.35,7.69,26.07,Invest
T. Rowe Price,TROW,Financials,2.36,9.3,5.39,17.05,Invest
"Tapestry, Inc.",TPR,Consumer Discretionary,1.23,7.2,4.91,13.33,Invest
Targa Resources,TRGP,Energy,15.33,14.52,4.13,33.98,Invest
Target Corporation,TGT,Consumer Staples,2.04,7.63,5.06,14.72,Invest
TE Connectivity,TEL,Information Technology,6.42,4.87,4.64,15.93,Invest
Teleflex,TFX,Health Care,4.83,16.12,8.67,29.63,Invest
Teradyne,TER,Information Technology,6.27,4.95,4.64,15.86,Invest
"Tesla, Inc.",TSLA,Consumer Discretionary,2.78,16.16,9.61,28.54,Invest
Texas Instruments,TXN,Information Technology,8.84,5.06,6.03,19.93,Invest
Textron,TXT,Industrials,11.05,16.23,6.53,33.81,Invest
Thermo Fisher Scientific,TMO,Health Care,1.47,5.6,6.46,13.52,Invest
TJX Companies,TJX,Consumer Discretionary,1.89,7.42,5.12,14.43,Invest
Tractor Supply,TSCO,Consumer Discretionary,3.04,6.78,4.14,13.96,Invest
Trane Technologies,TT,Industrials,7.11,3.84,5.16,16.12,Invest
TransDigm Group,TDG,Industrials,12.84,17.85,8.4,39.09,Invest
Travelers Companies (The),TRV,Financials,0.99,9.45,10.08,20.52,Invest
Trimble Inc.,TRMB,Information Technology,3.17,3.72,6.09,12.98,Invest
Truist,TFC,Financials,2.01,13.02,10.39,25.42,Invest
Tyson Foods,TSN,Consumer Staples,14.31,12.39,9.97,36.67,Invest
U.S. Bank,USB,Financials,1.39,13.19,12.45,27.04,Invest
"UDR, Inc.",UDR,Real Estate,3.15,4,5.21,12.36,Invest
Ulta Beauty,ULTA,Consumer Discretionary,3.83,7.2,4.29,15.33,Invest
Union Pacific Corporation,UNP,Industrials,9.43,12.14,3.69,25.26,Invest
United Airlines Holdings,UAL,Industrials,10.9,12.95,4.96,28.81,Invest
United Parcel Service,UPS,Industrials,4.58,9.55,5.38,19.5,Invest
United Rentals,URI,Industrials,5.89,6.57,5.99,18.45,Invest
UnitedHealth Group,UNH,Health Care,0.03,11.62,5.89,17.54,Invest
Universal Health Services,UHS,Health Care,3.7,20.68,8.6,32.98,Invest
Valero Energy,VLO,Energy,18.18,7.23,4.65,30.05,Invest
Ventas,VTR,Real Estate,2.75,4.28,5.73,12.75,Invest
Verisign,VRSN,Information Technology,4.74,10.77,5.93,21.44,Invest
Verisk,VRSK,Industrials,0.11,13.5,5.7,19.3,Invest
Verizon,VZ,Communication Services,3.88,8.92,5.69,18.48,Invest
Vertex Pharmaceuticals,VRTX,Health Care,0.75,15.4,6.67,22.82,Invest
VF Corporation,VFC,Consumer Discretionary,0.9,6.91,5.07,12.89,Invest
Visa Inc.,V,Financials,0.71,7.84,7.52,16.07,Invest
Vulcan Materials Company,VMC,Materials,15.61,4.56,8.85,29.02,Invest
Wabtec,WAB,Industrials,4.52,11.69,7.04,23.25,Invest
Walgreens Boots Alliance,WBA,Consumer Staples,2.03,11.52,4.73,18.29,Invest
Walmart,WMT,Consumer Staples,4.4,13.92,6.31,24.63,Invest
Waste Management,WM,Industrials,8.22,5.24,3.28,16.73,Invest
Waters Corporation,WAT,Health Care,1.37,9.4,6.24,17.01,Invest
WEC Energy Group,WEC,Utilities,14.68,7.4,5.27,27.36,Invest
Wells Fargo,WFC,Financials,1.94,15.4,15.51,32.84,Invest
Welltower,WELL,Real Estate,3.87,3.22,4.92,12.01,Invest
Western Digital,WDC,Information Technology,1.48,3.91,6.05,11.43,Invest
WestRock,WRK,Materials,56.02,58.81,61.85,58.45,Invest
Weyerhaeuser,WY,Real Estate,10.48,3.29,3.78,17.56,Invest
Whirlpool Corporation,WHR,Consumer Discretionary,4.76,7.08,3.96,15.8,Invest
Williams Companies,WMB,Energy,9.98,10.43,3.08,23.5,Invest
Willis Towers Watson,WTW,Financials,0.13,8.68,9.79,18.61,Invest
W. W. Grainger,GWW,Industrials,3.41,5.48,5.72,14.6,Invest
Wynn Resorts,WYNN,Consumer Discretionary,3.55,11.98,10.96,26.49,Invest
Xcel Energy,XEL,Utilities,12.87,6.75,4.18,23.8,Invest
Xylem Inc.,XYL,Industrials,3.56,7.4,5.08,16.04,Invest
Yum! Brands,YUM,Consumer Discretionary,4.46,11.65,4.44,20.55,Invest
Zimmer Biomet,ZBH,Health Care,4.46,14.6,8.24,27.3,Invest
Zions Bancorporation,ZION,Financials,34.33,59.06,51.4,48.73,Invest
Zoetis,ZTS,Health Care,1.38,8.15,8.95,18.47,Invest
