"Date","GDPUS","GDPUK","USBen","USInst","USSlow","UKBen","UKInst","UKSlow"
"2013-01-01",0.00483524063788579,0.00954113530379842,0.0825645616112238,0.0865840628931768,0.083019284707198,0.0869719235043625,0.100205660737322,0.0882958847844396
"2013-04-01",0.0134589761886272,0.0145698568563567,0.0705103724064865,0.087505273076418,0.072399102830052,0.0790971597777413,0.102709963421143,0.0814594885128219
"2013-07-01",0.0140487953229234,0.00784664172202698,0.0629746369357767,0.0615352715995849,0.0628230602647035,0.0481585850402944,0.0580084104821234,0.0491440049009835
"2013-10-01",0.000332654355489077,0.0127009959137464,0.0388936431767867,0.0452719847464642,0.0396040131419799,0.00455709477834872,0.0180218605984139,0.00590416917443634
"2014-01-01",0.0186518715426413,0.00791280197034009,0.0563402591014838,0.0334510388406618,0.0515476270498709,0.040931534223706,0.03078404594702,0.0389018863909487
"2014-04-01",0.016309608101329,0.0191457835083706,0.030830258569605,0.0448283139204172,0.0337593176906891,0.00301251157879414,-0.00450967969358448,0.00150796199989527
"2014-07-01",0.00605760609221598,0.0042469614457524,0.0661775069463179,0.071708294162917,0.0673332335318368,0.0107779799963978,0.0342696331595319,0.0154766582929756
"2014-10-01",0.00845518825592479,0.00483858677706942,0.0211125538300564,0.0194586832982092,0.0207657623384998,0.0931598500542961,0.103626867839805,0.0952534085176846
"2015-01-01",0.0119719131294888,0.00388424773243347,0.0509177530129908,0.0630596876323356,0.0546612113329069,0.0552968043437658,0.0554958513868031,0.0553565302398378
"2015-04-01",0.00666539604625528,0.00693060165931571,0.0214951266049435,0.0489361849649678,0.0299530026589011,0.00095885368185212,0.0214830042399289,0.00711731383524868
"2015-07-01",0.00182108907115048,0.011171426487596,-0.0109571934780742,-0.0161305582846672,-0.0125519058144533,-0.0293914717774749,-0.026685216735982,-0.0285794350604959
"2015-10-01",0.00492516003542594,0.00924067380256612,-0.0673297571811728,-0.0720548504364624,-0.0687877750847273,-0.0468960915127865,-0.0189027503282705,-0.0384964320112908
"2016-01-01",0.0100275111650247,0.00859861556367795,0.110622618535026,0.0849934902531067,0.100198306703155,0.0794050930704522,0.00604193294732903,0.0500576575498363
"2016-04-01",0.00966972432545142,0.0135825938725475,0.0720503475409525,0.0715050627540984,0.0718342125390452,0.0778915461583926,0.0743989419227346,0.0764944010867656
"2016-07-01",0.0104135795957358,0.0133306701288325,-0.012359066640356,-0.009601904574463,-0.0112376643010647,0.0349045592133148,0.0181624579041126,0.0282072231412749
"2016-10-01",0.00999011020735657,0.0130133800096191,0.0974026603019941,0.0957065807210858,0.0967201078533399,0.0390622289340251,0.0166079877729163,0.0300798678479696
"2017-01-01",0.00822397869220907,0.00708078594972817,0.0534075736882591,0.0623994020531514,0.0579644862150216,0.0643660683335413,0.0744880692830673,0.0694270688083043
"2017-04-01",0.0130642864319285,0.00705998280409224,0.0426872911880678,0.057486458746233,0.0501811082945863,0.0233120096765617,0.0284914175299634,0.0259017136032626
"2017-07-01",0.0174935299283816,0.0164096090127183,0.049036834817493,0.041305395892565,0.0451316057697428,0.0318391107191651,0.0285459538148857,0.0301925322670254
"2017-10-01",0.0145462753869225,0.00282008109148841,0.0954900011538217,0.112736951489038,0.104229528477416,0.00329429760236835,0.00304236813702686,0.00316833286969761
"2018-01-01",0.0124140168756724,0.00817293032115739,-0.0462239424860736,-0.0420964912390663,-0.0437275794171274,0.0239958023292716,0.0263549972500757,0.0254114240262377
"2018-04-01",0.0105834960083401,0.00842967244701349,0.0612282225009377,0.0618102858959465,0.0615792763633351,0.0426251271248583,0.0447891729258867,0.04392365068565
"2018-07-01",0.00572809012857991,0.00959781383129398,-0.0462297576639146,-0.0359986621010331,-0.0400427896342468,-0.0786353571615749,-0.0788125719012955,-0.0787416938734584
"2018-10-01",0.00890463640484966,0.00749486069315083,0.0243629733498526,0.0155726779400639,0.0190475130742791,0.00528152195420524,-0.00202259430680324,0.00089872790651264
"2019-01-01",0.013297963958055,0.0119295077849412,0.0937877087060213,0.0885218804250325,0.090086772719217,0.071447356607612,0.110671259203624,0.098904668917681
"2019-04-01",0.0144732408921767,0.0123069064013181,0.0196974868560257,0.0346466808281222,0.0302156933835665,0.0124139552505392,0.0288295551681219,0.02390511813498
"2019-07-01",0.00959275812861657,0.00532880825885321,0.0176260311460863,0.018256378249618,0.0180702224733366,-0.00179609696766464,0.011131054077778,0.00725310007909332
"2019-10-01",-0.00894317926034558,-0.016985130499179,0.0539068001087458,0.062233043415559,0.0597668601428515,0.0354796443476799,0.0172145282578417,0.0226937927708064
"2020-01-01",-0.0826189816853586,-0.144615312696092,-0.138779622969057,-0.124737954998813,-0.127525435465224,-0.173848589833574,-0.165928678411205,-0.167512777906148
"2020-04-01",0.0871031258099236,0.12174748343132,0.118427214046453,0.112233019969761,0.113468134912333,0.0475930019545329,0.0569512702626689,0.0550794781036566
"2020-07-01",0.0174089184779496,0.00941784030520848,0.0139194431463294,0.00136234585081992,0.00384457136308386,-0.015786537059801,0.00565777585473264,0.0013685959074199
"2020-10-01",0.0261382981553908,-0.00126602486755004,0.175796270536056,0.187372090663378,0.185101891924707,0.193766326276771,0.161527301394687,0.167975583491496
"2021-01-01",0.0306270501768016,0.055528501223021,0.17887568865992,0.179742669582469,0.17964707007749,0.123175990621356,0.131555934445676,0.130718188100652
"2021-04-01",0.0230380671569505,0.0239818837198245,0.0362957997350765,0.0523566168944203,0.0507664006891049,0.00835299180884365,0.0132904182636726,0.0127968217607516
"2021-07-01",0.0346481570985035,0.0260839956939395,0.0414272908603623,0.0500081345052309,0.049157311268235,0.0318037536953897,0.0218165340074441,0.0228149603651779
"2021-10-01",0.0151903885858557,0.0203511465222215,0.00436645761567396,-0.0181148971813731,-0.0158920126941456,0.0219026082380601,0.0137476975543296,0.014562947246036
"2022-01-01",0.0205823090196234,0.0216715367672059,-0.0319875442985681,-0.0648332819731432,-0.0648332819731432,-0.0217625344499869,-0.0472894336918766,-0.0472894336918766
"2022-04-01",0.017630801236739,0.0138904295904735,-0.00567909753279747,-0.00514447876401792,-0.00514447876401792,-0.0158836930777169,-0.0156859239574367,-0.0156859239574367
"2022-07-01",0.0159173589600532,0.0222627094859122,-0.0263714565590027,-0.0268163693258802,-0.0268163693258802,-0.0587179194912234,-0.0696394674468033,-0.0696394674468033
