"Date","AZN.L","BP.L","DCC.L","GSK.L","HIK.L","NG.L","SHEL.L","SN.L","SSE.L","SVT.L","UU.L"
"2020-01-30","-0.125741","0.306776","0.516398","-0.041555","-0.030118","0.392813","0.056541","-0.025884","-0.024315","-0.052387","0.027471"
"2020-02-27","0.021746","-0.005527","-0.195195","0.321373","-0.002362","0.600511","0.073049","0.071069","0.212252","-0.014571","-0.082345"
"2020-03-26","0.046744","0.104111","0.00299","0.686138","-0.020478","-0.204485","-0.070875","0.093065","0.007781","-0.004162","0.359171"
"2020-04-27","0.149287","-0.176337","-0.048757","0.115251","0.153361","-0.033985","0.39537","0.128502","0.085234","-0.04092","0.272996"
"2020-05-27","-0.01636","0.324241","0.165994","-0.068109","0.164826","0.644939","-0.102888","-0.025347","-0.015659","-0.01866","-0.052977"
"2020-06-24","0.15515","0.085245","0.388533","0.428899","0.169779","-0.004674","0.072394","-0.157452","-0.034598","-0.054825","-0.048451"
"2020-07-22","-0.116148","-0.067113","0.204976","0.418339","0.126859","0.186254","0.048788","-0.026397","-0.029696","-0.060647","0.314784"
"2020-08-19","0.051317","-0.043152","0.024605","-0.00099","-0.002987","-0.031748","0.126486","0.003507","0.538559","-0.221123","0.555526"
"2020-09-17","0.127277","-0.068382","-0.100647","-0.044202","0.167536","-0.060007","0.310224","0.150296","0.484615","0.060052","-0.026762"
"2020-10-15","-0.012465","0.323973","-0.02005","0.029717","0.166404","0.018163","-0.036969","-0.053757","0.102467","0.659276","-0.176759"
"2020-11-12","-0.010203","0.097335","0.01715","-0.037307","0.024152","1.011596","-0.069926","-0.000448","-0.101048","0.149767","-0.081068"
"2020-12-10","-0.080148","-0.08085","-0.001466","0.178551","0.107139","0.075655","0.149713","0.25401","0.039547","0.495384","-0.137536"